Node,Uptake,Uptake
Hartlepool,52.2,52.2
Middlesbrough,54.3,54.3
Redcar and Cleveland,59.7,59.7
Stockton-on-Tees,51.6,51.6
Darlington,65.3,65.3
Halton,51.3,51.3
Warrington,61.4,61.4
Blackburn with Darwen,52.7,52.7
Blackpool,54.6,54.6
Kingston upon Hull City of,55.7,55.7
East Riding of Yorkshire,59.2,59.2
North East Lincolnshire,62.1,62.1
North Lincolnshire,60.5,60.5
York,60.6,60.6
Derby,58.6,58.6
Leicester,61.9,61.9
Nottingham,67.2,67.2
Herefordshire County of,51.7,51.7
Telford and Wrekin,61.5,61.5
Stoke-on-Trent,58,58
Bath and North East Somerset,65,65
Bristol City of,58.5,58.5
North Somerset,60.4,60.4
South Gloucestershire,67.6,67.6
Plymouth,46.2,46.2
Torbay,64.2,64.2
Swindon,63.1,63.1
Peterborough,64.6,64.6
Luton,52.1,52.1
Southend-on-Sea,62.2,62.2
Thurrock,59.2,59.2
Medway,53.6,53.6
Bracknell Forest,62.9,62.9
West Berkshire,47.4,47.4
Reading,59.5,59.5
Slough,49.8,49.8
Windsor and Maidenhead,64.1,64.1
Wokingham,58.9,58.9
Milton Keynes,58.9,58.9
Brighton and Hove,56.7,56.7
Portsmouth,51.5,51.5
Southampton,61.6,61.6
Isle of Wight,53.2,53.2
County Durham,65.7,65.7
Cheshire East,64.2,64.2
Cheshire West and Chester,61.8,61.8
Shropshire,56.2,56.2
Wiltshire,67.2,67.2
Bedford,60.5,60.5
Central Bedfordshire,64.4,64.4
Northumberland,58.6,58.6
Dorset,67.2,67.2
Bolton,56.5,56.5
Bury,57.6,57.6
Manchester,50.4,50.4
Oldham,64.2,64.2
Rochdale,59.3,59.3
Salford,52.9,52.9
Stockport,53.5,53.5
Tameside,59.7,59.7
Trafford,62,62
Wigan,63.6,63.6
Knowsley,59.3,59.3
Liverpool,63,63
St. Helens,61.9,61.9
Sefton,52.5,52.5
Wirral,47.7,47.7
Barnsley,63.3,63.3
Doncaster,59.9,59.9
Rotherham,63.8,63.8
Sheffield,60.4,60.4
Newcastle upon Tyne,62.8,62.8
North Tyneside,65.9,65.9
South Tyneside,53.3,53.3
Sunderland,70.9,70.9
Birmingham,51,51
Coventry,56.8,56.8
Dudley,59.2,59.2
Sandwell,60.5,60.5
Solihull,59,59
Walsall,59.5,59.5
Wolverhampton,64.4,64.4
Bradford,55.2,55.2
Calderdale,60.6,60.6
Kirklees,59.2,59.2
Leeds,58.7,58.7
Wakefield,51.4,51.4
Gateshead,57.4,57.4
Barking and Dagenham,47.9,47.9
Barnet,50.4,50.4
Bexley,55.4,55.4
Brent,49.2,49.2
Bromley,57.3,57.3
Camden,51.4,51.4
Croydon,49.8,49.8
Ealing,51.4,51.4
Enfield,60.7,60.7
Greenwich,64.4,64.4
Hammersmith and Fulham,56.6,56.6
Haringey,67.1,67.1
Harrow,45.6,45.6
Havering,59.6,59.6
Hillingdon,61.8,61.8
Hounslow,56,56
Islington,60.7,60.7
Kensington and Chelsea,50.5,50.5
Kingston upon Thames,57.1,57.1
Lambeth,54.6,54.6
Lewisham,62.9,62.9
Merton,57,57
Newham,62.6,62.6
Redbridge,63.5,63.5
Richmond upon Thames,54.1,54.1
Southwark,62.7,62.7
Sutton,57.6,57.6
Tower Hamlets,57.7,57.7
Waltham Forest,52.4,52.4
Wandsworth,62.7,62.7
Westminster,57.6,57.6
Buckinghamshire,60.6,60.6
Cambridgeshire,61.8,61.8
Cumbria,66.8,66.8
Derbyshire,65.9,65.9
Devon,63.8,63.8
East Sussex,63.2,63.2
Essex,46.8,46.8
Gloucestershire,63.7,63.7
Hampshire,43.9,43.9
Hertfordshire,62.2,62.2
Kent,49.7,49.7
Lancashire,48.5,48.5
Lincolnshire,48.9,48.9
Norfolk,48.4,48.4
Northamptonshire,67.7,67.7
North Yorkshire,63.9,63.9
Nottinghamshire,56.3,56.3
Oxfordshire,56.6,56.6
Somerset,61.8,61.8
Staffordshire,59.8,59.8
Suffolk,60.1,60.1
Surrey,62,62
Warwickshire,57.5,57.5
West Sussex,53.2,53.2
Worcestershire,62.8,62.8
